"INDICATOR","HFA_13"

"HFA_13","% of population aged 65+ years, by sex"

"UNIT_TYPE","Unit"
"PERCENT","%"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATIO","Ratio"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"AUT","","ALL","2000","15.43"
"AUT","","ALL","2001","15.46"
"AUT","","ALL","2002","15.46"
"AUT","","ALL","2003","15.44"
"AUT","","ALL","2004","15.71"
"AUT","","ALL","2005","16.22"
"AUT","","ALL","2006","16.66"
"AUT","","ALL","2007","17.03"
"AUT","","ALL","2008","17.26"
"AUT","","ALL","2009","17.53"
"AUT","","ALL","2010","17.67"
"AUT","","ALL","2011","17.69"
"AUT","","ALL","2012","17.95"
"AUT","","ALL","2013","18.19"
"AUT","","ALL","2014","18.4"
"AUT","","ALL","2015","18.48"
"AUT","","ALL","2016","18.5"
"AUT","","ALL","2017","18.6"
"AUT","","ALL","2018","18.76"
"AUT","","ALL","2019","18.94"
"AUT","","ALL","2020","19.15"
"AUT","","ALL","2021","19.36"
"AZE","","ALL","1950","6.9"
"AZE","","ALL","1951","6.6"
"AZE","","ALL","1952","6.4"
"AZE","","ALL","1953","6.1"
"AZE","","ALL","1954","5.9"
"AZE","","ALL","1955","5.6"
"AZE","","ALL","1956","5.4"
"AZE","","ALL","1957","5.2"
"AZE","","ALL","1958","5"
"AZE","","ALL","1959","4.9"
"AZE","","ALL","1960","4.7"
"AZE","","ALL","1961","4.6"
"AZE","","ALL","1962","4.5"
"AZE","","ALL","1963","4.4"
"AZE","","ALL","1964","4.4"
"AZE","","ALL","1965","4.3"
"AZE","","ALL","1966","4.3"
"AZE","","ALL","1967","4.3"
"AZE","","ALL","1968","4.2"
"AZE","","ALL","1969","4.2"
"AZE","","ALL","1970","4.2"
"AZE","","ALL","1971","4.2"
"AZE","","ALL","1972","4.2"
"AZE","","ALL","1973","4.2"
"AZE","","ALL","1974","4.2"
"AZE","","ALL","1975","4.2"
"AZE","","ALL","1976","4.4"
"AZE","","ALL","1977","4.7"
"AZE","","ALL","1978","5"
"AZE","","ALL","1979","5.1"
"AZE","","ALL","1980","5.1"
"AZE","","ALL","1981","5.35"
"AZE","","ALL","1982","5.24"
"AZE","","ALL","1983","5.07"
"AZE","","ALL","1984","4.6"
"AZE","","ALL","1985","4.92"
"AZE","","ALL","1986","4.85"
"AZE","","ALL","1987","4.79"
"AZE","","ALL","1988","4.76"
"AZE","","ALL","1989","4.72"
"AZE","","ALL","1990","4.75"
"AZE","","ALL","1991","4.83"
"AZE","","ALL","1992","4.94"
"AZE","","ALL","1993","5.14"
"AZE","","ALL","1994","5.38"
"AZE","","ALL","1995","5.58"
"AZE","","ALL","1996","5.68"
"AZE","","ALL","1997","5.68"
"AZE","","ALL","1998","5.58"
"AZE","","ALL","1999","5.58"
"AZE","","ALL","2000","5.82"
"AZE","","ALL","2001","6.11"
"AZE","","ALL","2002","6.41"
"AZE","","ALL","2003","6.69"
"AZE","","ALL","2004","6.89"
"AZE","","ALL","2005","7.02"
"AZE","","ALL","2006","6.3"
"AZE","","ALL","2007","7.03"
"AZE","","ALL","2008","6"
"AZE","","ALL","2009","5.8"
"AZE","","ALL","2010","5.6"
"AZE","","ALL","2011","5.4"
"AZE","","ALL","2012","5.4"
"AZE","","ALL","2013","5.4"
"AZE","","ALL","2014","5.4"
"AZE","","ALL","2015","5.5"
"AZE","","ALL","2016","5.6"
"AZE","","ALL","2017","5.8"
"AZE","","ALL","2018","6"
"AZE","","ALL","2019","6.2"
"AZE","","ALL","2020","6.5"
"AZE","","ALL","2021","6.7"
"BEL","","ALL","1950","11.04"
"BEL","","ALL","1951","11.14"
"BEL","","ALL","1952","11.25"
"BEL","","ALL","1953","11.35"
"BEL","","ALL","1954","11.45"
"BEL","","ALL","1955","11.53"
"BEL","","ALL","1956","11.61"
"BEL","","ALL","1957","11.68"
"BEL","","ALL","1958","11.75"
"BEL","","ALL","1959","11.88"
"BEL","","ALL","1960","11.98"
"BEL","","ALL","1961","12.12"
"BEL","","ALL","1962","12.29"
"BEL","","ALL","1963","12.38"
"BEL","","ALL","1964","12.48"
"BEL","","ALL","1965","12.6"
"BEL","","ALL","1966","12.75"
"BEL","","ALL","1967","12.94"
"BEL","","ALL","1968","13.09"
"BEL","","ALL","1969","13.22"
"BEL","","ALL","1970","13.36"
"BEL","","ALL","1971","13.47"
"BEL","","ALL","1972","13.59"
"BEL","","ALL","1973","13.73"
"BEL","","ALL","1974","13.8"
"BEL","","ALL","1975","13.93"
"BEL","","ALL","1976","13.99"
"BEL","","ALL","1977","14.05"
"BEL","","ALL","1978","14.08"
"BEL","","ALL","1979","14.27"
"BEL","","ALL","1980","14.31"
"BEL","","ALL","1981","14.37"
"BEL","","ALL","1982","14.09"
"BEL","","ALL","1983","13.97"
"BEL","","ALL","1984","13.67"
"BEL","","ALL","1985","13.83"
"BEL","","ALL","1986","14.21"
"BEL","","ALL","1987","14.28"
"BEL","","ALL","1988","14.49"
"BEL","","ALL","1989","14.71"
"BEL","","ALL","1990","14.92"
"BEL","","ALL","1991","15.13"
"BEL","","ALL","1992","15.31"
"BEL","","ALL","1993","15.47"
"BEL","","ALL","1994","15.66"
"BEL","","ALL","1995","15.89"
"BEL","","ALL","1996","16.14"
"BEL","","ALL","1997","16.25"
"BEL","","ALL","1998","16.54"
"BEL","","ALL","1999","16.68"
"BEL","","ALL","2000","16.8"
"BEL","","ALL","2001","16.9"
"BEL","","ALL","2002","16.98"
"BEL","","ALL","2003","17.07"
"BEL","","ALL","2004","17.17"
"BEL","","ALL","2005","17.22"
"BEL","","ALL","2006","17.16"
"BEL","","ALL","2007","17.08"
"BEL","","ALL","2008","17.07"
"BEL","","ALL","2009","17.12"
"BEL","","ALL","2010","17.16"
"BEL","","ALL","2011","17.12"
"BEL","","ALL","2012","17.35"
"BEL","","ALL","2013","17.67"
"BEL","","ALL","2014","17.94"
"BEL","","ALL","2015","18.15"
"BEL","","ALL","2016","18.32"
"BEL","","ALL","2017","18.58"
"BEL","","ALL","2018","18.8"
"BEL","","ALL","2019","19.02"
"BEL","","ALL","2020","19.21"
"BEL","","ALL","2021","19.4"
"BGR","","ALL","1950","6.62"
"BGR","","ALL","1951","6.69"
"BGR","","ALL","1952","6.69"
"BGR","","ALL","1953","6.7"
"BGR","","ALL","1954","6.76"
"BGR","","ALL","1955","6.86"
"BGR","","ALL","1956","6.9"
"BGR","","ALL","1957","7.28"
"BGR","","ALL","1958","7.34"
"BGR","","ALL","1959","7.4"
"BGR","","ALL","1960","7.51"
"BGR","","ALL","1961","7.7"
"BGR","","ALL","1962","7.87"
"BGR","","ALL","1963","8"
"BGR","","ALL","1964","8.15"
"BGR","","ALL","1965","8.54"
"BGR","","ALL","1966","8.65"
"BGR","","ALL","1967","8.86"
"BGR","","ALL","1968","9.09"
"BGR","","ALL","1969","9.33"
"BGR","","ALL","1970","9.59"
"BGR","","ALL","1971","9.87"
"BGR","","ALL","1972","10.12"
"BGR","","ALL","1973","10.37"
"BGR","","ALL","1974","10.6"
"BGR","","ALL","1975","10.93"
"BGR","","ALL","1976","11.1"
"BGR","","ALL","1977","11.33"
"BGR","","ALL","1978","11.45"
"BGR","","ALL","1979","11.59"
"BGR","","ALL","1980","11.86"
